,metric,score,algorithm,config_idx,execution_time,signal_idx
147,ses-precision_0.46,0.9548954895489549,BasePersistentPattern,0,105.15981888771057,0
148,ses-recall_0.46,0.9413067552602437,BasePersistentPattern,0,105.15981888771057,0
149,ses-fscore_0.46,0.9480524320024878,BasePersistentPattern,0,105.15981888771057,0
150,ses-precision_0.47,0.9548954895489549,BasePersistentPattern,0,105.15981888771057,0
151,ses-recall_0.47,0.9390919158361019,BasePersistentPattern,0,105.15981888771057,0
152,ses-fscore_0.47,0.9469277695872217,BasePersistentPattern,0,105.15981888771057,0
153,ses-precision_0.48,0.9548954895489549,BasePersistentPattern,0,105.15981888771057,0
154,ses-recall_0.48,0.9368770764119602,BasePersistentPattern,0,105.15981888771057,0
155,ses-fscore_0.48,0.9458004737193927,BasePersistentPattern,0,105.15981888771057,0
156,ses-precision_0.49,0.9548954895489549,BasePersistentPattern,0,105.15981888771057,0
157,ses-recall_0.49,0.9335548172757475,BasePersistentPattern,0,105.15981888771057,0
158,ses-fscore_0.49,0.9441045719251321,BasePersistentPattern,0,105.15981888771057,0
159,ses-precision_0.5,0.9537953795379538,BasePersistentPattern,0,105.15981888771057,0
160,ses-recall_0.5,0.9324473975636767,BasePersistentPattern,0,105.15981888771057,0
161,ses-fscore_0.5,0.9430005832282167,BasePersistentPattern,0,105.15981888771057,0
162,ses-precision_0.51,0.9515951595159516,BasePersistentPattern,0,105.15981888771057,0
163,ses-recall_0.51,0.929125138427464,BasePersistentPattern,0,105.15981888771057,0
164,ses-fscore_0.51,0.9402259179942816,BasePersistentPattern,0,105.15981888771057,0
165,ses-precision_0.52,0.9493949394939494,BasePersistentPattern,0,105.15981888771057,0
166,ses-recall_0.52,0.9258028792912514,BasePersistentPattern,0,105.15981888771057,0
167,ses-fscore_0.52,0.9374505023021505,BasePersistentPattern,0,105.15981888771057,0
168,ses-precision_0.53,0.9493949394939494,BasePersistentPattern,0,105.15981888771057,0
169,ses-recall_0.53,0.9235880398671097,BasePersistentPattern,0,105.15981888771057,0
170,ses-fscore_0.53,0.9363136994721591,BasePersistentPattern,0,105.15981888771057,0
171,ses-precision_0.54,0.9493949394939494,BasePersistentPattern,0,105.15981888771057,0
